id_declaracion,id_importador,tipo_importador,departamento,ciudad,subpartida_arancelaria,descripcion_producto,pais_origen,anio_declaracion,valor_fob,fletes,seguros,valor_cif,arancel,iva,valor_total_pagar,estado_declaracion,fecha_declaracion
IMP-2026-00483,IM-643042,Persona jurídica,Antioquia,Envigado,6109.10.00,Camisetas de punto de algodón,Japón,2024,17407000.0,827000.0,214000.0,18448000.0,458700.0,3592300.0,22499000.0,Extemporánea,2024-11-07
IMP-2026-00346,IM-242723,Persona natural,Antioquia,Envigado,8703.23.00,Vehículos automóviles con motor de émbolo,México,2024,12656000.0,290000.0,249000.0,13195000.0,805400.0,2660100.0,16660500.0,Presentada,2024-02-07
IMP-2026-00120,IM-222343,Persona natural,Santander,Floridablanca,9403.60.00,Muebles de madera,China,2025,259994000.0,7737000.0,4853000.0,272584000.0,33631600.0,58181000.0,364396600.0,Presentada,2025-11-14
IMP-2026-00067,IM-910004,Persona jurídica,Santander,Bucaramanga,8471.30.00,Máquinas automáticas para procesamiento de datos,Estados Unidos,2024,66655000.0,4526000.0,983000.0,72164000.0,7598500.0,15154900.0,94917400.0,Presentada,2024-02-23
IMP-2026-00421,IM-383091,Persona natural,Antioquia,Envigado,9403.60.00,Muebles de madera,Japón,2024,344398000.0,20513000.0,6346000.0,371257000.0,35455200.0,77275300.0,483987500.0,Presentada,2024-11-17
IMP-2026-00329,IM-442622,Persona jurídica,Antioquia,Medellín,8517.12.00,Teléfonos móviles,Estados Unidos,2024,43005000.0,1730000.0,750000.0,45485000.0,2939800.0,9200700.0,57625500.0,Con corrección,2024-03-18
IMP-2026-00378,IM-984756,Persona natural,Valle del Cauca,Cali,6109.10.00,Camisetas de punto de algodón,Alemania,2025,32489000.0,1280000.0,273000.0,34042000.0,1812700.0,6812400.0,42667100.0,Extemporánea,2025-02-16
IMP-2026-00226,IM-162036,Persona natural,Santander,Bucaramanga,8703.23.00,Vehículos automóviles con motor de émbolo,Brasil,2025,40878000.0,2297000.0,355000.0,43530000.0,2541900.0,8753700.0,54825600.0,Presentada,2025-05-21
IMP-2026-00202,IM-869864,Persona jurídica,Antioquia,Itagüí,6109.10.00,Camisetas de punto de algodón,Japón,2025,23128000.0,1092000.0,298000.0,24518000.0,1621000.0,4966400.0,31105400.0,En revisión,2025-12-11
IMP-2026-00148,IM-972442,Persona jurídica,Cundinamarca,Soacha,8703.23.00,Vehículos automóviles con motor de émbolo,Estados Unidos,2024,122005000.0,4215000.0,1103000.0,127323000.0,7205500.0,25560400.0,160088900.0,Extemporánea,2024-10-15
IMP-2026-00440,IM-764441,Persona jurídica,Santander,Bucaramanga,8471.30.00,Máquinas automáticas para procesamiento de datos,Corea del Sur,2025,10888000.0,325000.0,76000.0,11289000.0,1229300.0,2378500.0,14896800.0,Presentada,2025-06-27
IMP-2026-00147,IM-843963,Persona jurídica,Cundinamarca,Soacha,8703.23.00,Vehículos automóviles con motor de émbolo,Alemania,2025,865554000.0,22877000.0,10137000.0,898568000.0,71788900.0,184367800.0,1154724700.0,Presentada,2025-10-13
IMP-2026-00316,IM-489906,Persona natural,Antioquia,Medellín,9403.60.00,Muebles de madera,CHINA,2025,61609000.0,3636000.0,492000.0,65737000.0,6707400.0,13764400.0,86208800.0,Extemporánea,2025-05-03
IMP-2026-00326,IM-816116,Persona natural,Bogotá D.C.,,8517.12.00,Teléfonos móviles,España,2025,27491000.0,1528000.0,205000.0,29224000.0,1714300.0,5878300.0,36816600.0,Presentada,2025-06-18
IMP-2026-00066,IM-126925,Persona jurídica,Atlántico,Barranquilla,6109.10.00,Camisetas de punto de algodón,Japón,2025,114239000.0,7838000.0,2057000.0,124134000.0,17004600.0,26816300.0,167954900.0,Extemporánea,2025-02-19
IMP-2026-00427,IM-245117,Persona natural,Santander,Bucaramanga,8471.30.00,Máquinas automáticas para procesamiento de datos,Corea del Sur,2024,130346000.0,4680000.0,693000.0,135719000.0,1672800.0,26104400.0,163496200.0,Con corrección,2024-01-28
IMP-2026-00035,IM-765046,Persona jurídica,Atlántico,Barranquilla,9403.60.00,Muebles de madera,España,2025,5846000.0,217000.0,32000.0,6095000.0,557300.0,1263900.0,7916200.0,Con corrección,2025-04-22
IMP-2026-00347,IM-661957,Persona jurídica,Bogotá D.C.,Bogotá,3004.90.00,Medicamentos para uso humano,Brasil,2025,54918000.0,2967000.0,883000.0,58768000.0,7744300.0,12637300.0,79149600.0,Extemporánea,2025-07-04
IMP-2026-00262,IM-655134,Persona jurídica,Valle del Cauca,Yumbo,8517.12.00,Teléfonos móviles,Alemania,2025,22505000.0,753000.0,188000.0,23446000.0,1888500.0,4813600.0,30148100.0,Presentada,2025-01-01
IMP-2026-00492,IM-635617,Persona jurídica,Cundinamarca,Mosquera,6109.10.00,Camisetas de punto de algodón,México,2024,970292000.0,41553000.0,16140000.0,1027985000.0,148720100.0,223574000.0,1400279100.0,Con corrección,2024-10-22
IMP-2026-00340,IM-897423,Persona natural,Antioquia,Itagüí,3004.90.00,Medicamentos para uso humano,México,2024,14078000.0,361000.0,212000.0,14651000.0,975200.0,2969000.0,18595200.0,Presentada,2024-12-18
IMP-2026-00246,IM-628373,Persona jurídica,Cundinamarca,Chía,6109.10.00,Camisetas de punto de algodón,Brasil,2024,48475000.0,2761000.0,412000.0,51648000.0,189000.0,9849000.0,61686000.0,Con corrección,2024-01-05
IMP-2026-00205,IM-267082,Persona jurídica,Antioquia,Itagüí,9403.60.00,Muebles de madera,España,2025,13117000.0,282000.0,96000.0,13495000.0,1449300.0,2839400.0,17783700.0,Extemporánea,2025-04-25
IMP-2026-00498,IM-223552,Persona natural,Valle del Cauca,Yumbo,9403.60.00,Muebles de madera,Japón,2024,26598000.0,775000.0,309000.0,27682000.0,2554900.0,5745000.0,35981900.0,En revisión,2024-10-17
IMP-2026-00332,IM-233096,Persona jurídica,Cundinamarca,Chía,8517.12.00,Teléfonos móviles,Estados Unidos,2025,28085000.0,1362000.0,496000.0,29943000.0,3618600.0,6376700.0,39938300.0,Presentada,2025-03-12
IMP-2026-00496,IM-717661,Persona natural,Santander,Floridablanca,6109.10.00,Camisetas de punto de algodón,Japón,2025,93435000.0,3644000.0,1669000.0,98748000.0,13422000.0,21312300.0,133482300.0,En revisión,2025-07-12
IMP-2026-00411,IM-104942,Persona jurídica,Antioquia,Itagüí,6109.10.00,Camisetas de punto de algodón,Alemania,2025,12359000.0,861000.0,198000.0,13418000.0,1548400.0,2843600.0,17810000.0,En revisión,2025-11-02
IMP-2026-00005,IM-496922,Persona natural,Atlántico,Soledad,8471.30.00,Máquinas automáticas para procesamiento de datos,Alemania,2025,50727000.0,2329000.0,475000.0,53531000.0,4913000.0,11104400.0,69548400.0,Con corrección,2025-09-04
IMP-2026-00408,IM-708502,Persona natural,Cundinamarca,Soacha,3004.90.00,Medicamentos para uso humano,España,2024,29430000.0,2349000.0,506000.0,32285000.0,2979400.0,6700200.0,41964600.0,En revisión,2024-11-19
IMP-2026-00488,IM-604906,Persona jurídica,Santander, bucaramanga ,3004.90.00,Medicamentos para uso humano,España,2025,17909000.0,916000.0,145000.0,18970000.0,2497900.0,4078900.0,25546800.0,En revisión,2025-12-04
IMP-2026-00331,IM-842287,PERSONA NATURAL,Atlántico,Barranquilla,8703.23.00,Vehículos automóviles con motor de émbolo,China,2024,28102000.0,624000.0,451000.0,29177000.0,2905200.0,6095600.0,38177800.0,En revisión,2024-02-01
IMP-2026-00319,IM-340068,Persona jurídica,Valle del Cauca,Buenaventura,9403.60.00,Muebles de madera,Estados Unidos,2024,49846000.0,2309000.0,791000.0,52946000.0,3865100.0,10794100.0,67605200.0,Presentada,2024-08-03
IMP-2026-00224,IM-155040,Persona natural,Bogotá D.C.,Bogotá,9403.60.00,Muebles de madera,Japón,2024,106397000.0,7965000.0,1200000.0,115562000.0,6641400.0,23218600.0,145422000.0,Con corrección,2024-11-08
IMP-2026-00477,IM-912402,Persona jurídica,Bogotá D.C.,,3004.90.00,Medicamentos para uso humano,España,2025,8347000.0,533000.0,165000.0,9045000.0,348000.0,1784700.0,11177700.0,Presentada,2025-08-12
IMP-2026-00335,IM-112884,Persona natural,Atlántico,Barranquilla,6109.10.00,Camisetas de punto de algodón,China,2024,82858000.0,3229000.0,1045000.0,87132000.0,543300.0,16658300.0,104333600.0,Extemporánea,2024-01-28
IMP-2026-00315,IM-822040,Persona natural,Bogotá D.C.,Bogotá,3004.90.00,Medicamentos para uso humano,Alemania,2024,224087000.0,7553000.0,4469000.0,236109000.0,34523600.0,51420200.0,322052800.0,En revisión,2024-07-07
IMP-2026-00163,IM-908320,Persona natural,Bogotá D.C.,Bogotá,8471.30.00,Máquinas automáticas para procesamiento de datos,Corea del Sur,2025,37278000.0,1937000.0,215000.0,39430000.0,1990800.0,7870000.0,49290800.0,En revisión,2025-02-17
IMP-2026-00484,IM-646699,PERSONA JURÍDICA,Cundinamarca,Soacha,8471.30.00,Máquinas automáticas para procesamiento de datos,Alemania,2025,43408000.0,3331000.0,770000.0,47509000.0,4767700.0,9932600.0,62209300.0,En revisión,2025-02-23
IMP-2026-00166,IM-561999,Persona jurídica,Antioquia,Envigado,6109.10.00,Camisetas de punto de algodón,Alemania,2025,22367000.0,1247000.0,270000.0,23884000.0,1475500.0,4818300.0,30177800.0,Extemporánea,2025-11-19
IMP-2026-00103,IM-930884,Persona natural,Santander,Floridablanca,9403.60.00,Muebles de madera,España,2025,17444000.0,499000.0,286000.0,18229000.0,1690400.0,3784700.0,23704100.0,Presentada,2025-07-22
IMP-2026-00475,IM-259797,Persona jurídica,Antioquia,Itagüí,9403.60.00,Muebles de madera,Corea del Sur,2025,3526000.0,144000.0,65000.0,3735000.0,12200.0,712000.0,4459200.0,Extemporánea,2025-12-19
IMP-2026-00243,IM-963355,Persona natural,Cundinamarca,Mosquera,9403.60.00,Muebles de madera,Brasil,2025,25790000.0,635000.0,398000.0,26823000.0,1367500.0,5356200.0,33546700.0,Extemporánea,2025-09-13
IMP-2026-00006,IM-338968,Persona jurídica,Atlántico,Barranquilla,9403.60.00,Muebles de madera,Estados Unidos,2024,5878000.0,167000.0,55000.0,6100000.0,335200.0,1222700.0,7657900.0,En revisión,2024-01-22
IMP-2026-00169,IM-573041,Persona jurídica,Atlántico,Barranquilla,3004.90.00,Medicamentos para uso humano,China,2024,43427000.0,2365000.0,766000.0,46558000.0,976100.0,9031500.0,56565600.0,Extemporánea,2024-04-27
IMP-2026-00433,IM-795951,Persona jurídica,Cundinamarca,Mosquera,9403.60.00,Muebles de madera,México,2024,27648000.0,2093000.0,231000.0,29972000.0,1673200.0,6012600.0,37657800.0,Presentada,2024-08-12
IMP-2026-00063,IM-665621,Persona natural,Cundinamarca,Chía,8471.30.00,Máquinas automáticas para procesamiento de datos,Corea del Sur,2025,16455000.0,936000.0,327000.0,17718000.0,372300.0,3437200.0,21527500.0,En revisión,2025-01-24
IMP-2026-00361,IM-476211,Persona natural,Bogotá D.C.,Bogotá,8517.12.00,Teléfonos móviles,Corea del Sur,2025,14803000.0,663000.0,101000.0,15567000.0,423000.0,3038100.0,19028100.0,En revisión,2025-12-23
IMP-2026-00305,IM-545807,Persona natural,Atlántico,Barranquilla,9403.60.00,Muebles de madera,Brasil,2025,14627000.0,791000.0,224000.0,15642000.0,1878400.0,3328900.0,20849300.0,Con corrección,2025-09-07
IMP-2026-00018,IM-736059,Persona jurídica,Bogotá D.C.,Bogotá,8517.12.00,Teléfonos móviles,Brasil,2024,73418000.0,4680000.0,1216000.0,79314000.0,880900.0,15237000.0,95431900.0,En revisión,2024-05-17
IMP-2026-00234,IM-601410,Persona natural,Santander,Floridablanca,8703.23.00,Vehículos automóviles con motor de émbolo,España,2024,22692000.0,1257000.0,236000.0,24185000.0,332200.0,4658300.0,29175500.0,Con corrección,2024-04-05
IMP-2026-00422,IM-308296,Persona natural,Atlántico,Barranquilla,8703.23.00,Vehículos automóviles con motor de émbolo,Alemania,2024,21732000.0,1235000.0,130000.0,23097000.0,1796100.0,4729700.0,29622800.0,En revisión,2024-02-16
IMP-2026-00086,IM-793300,Persona natural,Valle del Cauca,Yumbo,6109.10.00,Camisetas de punto de algodón,Japón,2025,63218000.0,3486000.0,1208000.0,67912000.0,5862200.0,14017100.0,87791300.0,Presentada,2025-11-19
IMP-2026-00480,IM-625465,Persona natural,Antioquia,Envigado,6109.10.00,Camisetas de punto de algodón,Japón,2025,38430000.0,1117000.0,322000.0,39869000.0,1500900.0,7860300.0,49230200.0,Con corrección,2025-03-15
IMP-2026-00284,IM-958747,Persona jurídica,Santander,Bucaramanga,3004.90.00,Medicamentos para uso humano,España,2025,58073000.0,2289000.0,716000.0,61078000.0,7058200.0,12945900.0,81082100.0,En revisión,2025-12-03
IMP-2026-00215,IM-278794,Persona jurídica,Santander,Bucaramanga,9403.60.00,Muebles de madera,México,2024,11068000.0,588000.0,128000.0,11784000.0,520500.0,2337900.0,14642400.0,En revisión,2024-10-16
IMP-2026-00180,IM-365618,Persona natural,Antioquia,Envigado,8517.12.00,Teléfonos móviles,Brasil,2025,16918000.0,1228000.0,171000.0,18317000.0,2256400.0,3908900.0,24482300.0,Con corrección,2025-09-16
IMP-2026-00233,IM-267475,Persona jurídica,Santander,Bucaramanga,8471.30.00,Máquinas automáticas para procesamiento de datos,Alemania,2024,80821000.0,5493000.0,1246000.0,87560000.0,3574400.0,17315500.0,108449900.0,Presentada,2024-08-10
IMP-2026-00344,IM-768169,Persona jurídica,Santander,Bucaramanga,8517.12.00,Teléfonos móviles,Estados Unidos,2024,113880000.0,6900000.0,938000.0,121718000.0,12029700.0,25412100.0,159159800.0,Presentada,2024-09-05
IMP-2026-00301,IM-608149,Persona natural,Antioquia,Envigado,8517.12.00,Teléfonos móviles,Brasil,2024,15143000.0,523000.0,300000.0,15966000.0,341300.0,3098400.0,19405700.0,Extemporánea,2024-06-01
IMP-2026-00165,IM-398768,PERSONA JURÍDICA,Cundinamarca,Chía,9403.60.00,Muebles de madera,Brasil,2024,108938000.0,3843000.0,1658000.0,114439000.0,13050000.0,24222900.0,151711900.0,En revisión,2024-08-20
IMP-2026-00350,IM-676843,Persona natural,Bogotá D.C.,Bogotá,3004.90.00,Medicamentos para uso humano,Estados Unidos,2025,80291000.0,2185000.0,1057000.0,83533000.0,72200.0,15885000.0,99490200.0,Extemporánea,2025-09-24
IMP-2026-00453,IM-838857,Persona jurídica,Santander,Floridablanca,6109.10.00,Camisetas de punto de algodón,Brasil,2025,8661000.0,586000.0,55000.0,9302000.0,820700.0,1923300.0,12046000.0,En revisión,2025-04-21
IMP-2026-00435,IM-677236,Persona jurídica,Bogotá D.C.,Bogotá,8703.23.00,Vehículos automóviles con motor de émbolo,Japón,2024,31920000.0,2337000.0,469000.0,34726000.0,1489300.0,6880900.0,43096200.0,En revisión,2024-09-08
IMP-2026-00030,IM-539589,Persona jurídica,Atlántico,Barranquilla,8517.12.00,Teléfonos móviles,Alemania,2024,104913000.0,2791000.0,883000.0,108587000.0,6956800.0,21953300.0,137497100.0,En revisión,2024-10-03
IMP-2026-00108,IM-493049,Persona jurídica,Valle del Cauca,Cali,8703.23.00,Vehículos automóviles con motor de émbolo,México,2024,32170000.0,2393000.0,215000.0,34778000.0,2569900.0,7096100.0,44444000.0,En revisión,2024-05-12
IMP-2026-00470,IM-105274,Persona jurídica,Santander,Floridablanca,8471.30.00,Máquinas automáticas para procesamiento de datos,Estados Unidos,2024,25214000.0,709000.0,410000.0,26333000.0,2594900.0,5496300.0,34424200.0,Con corrección,2024-02-02
IMP-2026-00448,IM-799565,Persona jurídica,Santander,Bucaramanga,8703.23.00,Vehículos automóviles con motor de émbolo,Alemania,2025,21644000.0,479000.0,350000.0,22473000.0,682600.0,4399600.0,27555200.0,Extemporánea,2025-10-19
IMP-2026-00287,IM-472253,Persona natural,Santander,Bucaramanga,8471.30.00,Máquinas automáticas para procesamiento de datos,China,2024,14343000.0,358000.0,218000.0,14919000.0,1464700.0,3112900.0,19496600.0,Extemporánea,2024-11-22
IMP-2026-00160,IM-794299,Persona jurídica,Atlántico,Barranquilla,8703.23.00,Vehículos automóviles con motor de émbolo,México,2025,14983000.0,551000.0,248000.0,15782000.0,442800.0,3082700.0,19307500.0,Presentada,2025-11-23
IMP-2026-00293,IM-936507,PERSONA JURÍDICA,Atlántico,Barranquilla,8703.23.00,Vehículos automóviles con motor de émbolo,México,2025,56104000.0,3717000.0,991000.0,60812000.0,6941900.0,12873200.0,80627100.0,En revisión,2025-08-08
IMP-2026-00129,IM-332311,Persona natural,Cundinamarca,Chía,8703.23.00,Vehículos automóviles con motor de émbolo,Alemania,2024,187850000.0,9620000.0,3340000.0,200810000.0,16624300.0,41312500.0,258746800.0,Extemporánea,2024-08-17
IMP-2026-00118,IM-576877,Persona jurídica,Valle del Cauca,Buenaventura,8471.30.00,Máquinas automáticas para procesamiento de datos,Alemania,2025,17747000.0,731000.0,244000.0,18722000.0,218300.0,3598700.0,22539000.0,Extemporánea,2025-09-04
IMP-2026-00190,IM-399449,Persona jurídica,Antioquia,Envigado,9403.60.00,Muebles de madera,Brasil,2025,23886000.0,640000.0,472000.0,24998000.0,3145600.0,5347300.0,33490900.0,Presentada,2025-04-20
IMP-2026-00437,IM-532368,Persona natural,Cundinamarca,Mosquera,9403.60.00,Muebles de madera,China,2024,33696000.0,2200000.0,401000.0,36297000.0,4584300.0,7767400.0,48648700.0,Presentada,2024-02-13
IMP-2026-00352,IM-371393,Persona natural,Cundinamarca,Chía,9403.60.00,Muebles de madera,China,2024,9435000.0,443000.0,81000.0,9959000.0,557600.0,1998200.0,12514800.0,Presentada,2024-10-19
IMP-2026-00327,IM-141761,Persona natural,Valle del Cauca,Yumbo,8471.30.00,Máquinas automáticas para procesamiento de datos,Japón,2024,10911000.0,725000.0,76000.0,11712000.0,1703800.0,2549000.0,15964800.0,Con corrección,2024-05-07
IMP-2026-00451,IM-688534,Persona jurídica,Antioquia,Envigado,8471.30.00,Máquinas automáticas para procesamiento de datos,Brasil,2024,223957000.0,16387000.0,3112000.0,243456000.0,14297900.0,48973200.0,306727100.0,Con corrección,2024-12-21
IMP-2026-00290,IM-459731,Persona jurídica,Valle del Cauca,Cali,9403.60.00,Muebles de madera,Brasil,2024,36065000.0,1315000.0,713000.0,38093000.0,-2338900.0,7682100.0,48114000.0,Extemporánea,2024-06-10
IMP-2026-00443,IM-790441,Persona natural,Cundinamarca,Soacha,9403.60.00,Muebles de madera,España,2024,70105000.0,4300000.0,1269000.0,75674000.0,7222600.0,15750400.0,98647000.0,Presentada,2024-08-15
IMP-2026-00136,IM-427626,Persona jurídica,Antioquia,Itagüí,3004.90.00,Medicamentos para uso humano,Estados Unidos,2024,37673000.0,1497000.0,546000.0,39716000.0,1430600.0,7817900.0,48964500.0,En revisión,2024-05-20
IMP-2026-00400,IM-810091,Persona jurídica,Antioquia,Envigado,8703.23.00,Vehículos automóviles con motor de émbolo,Estados Unidos,2024,90220000.0,4525000.0,991000.0,95736000.0,2102000.0,18589200.0,116427200.0,Presentada,2024-08-10
IMP-2026-00258,IM-961501,Persona jurídica,Atlántico,Barranquilla,3004.90.00,Medicamentos para uso humano,España,2025,65166000.0,1994000.0,541000.0,67701000.0,1893300.0,13222900.0,82817200.0,Extemporánea,2025-05-25
IMP-2026-00493,IM-504186,Persona natural,Cundinamarca,Mosquera,8517.12.00,Teléfonos móviles,Estados Unidos,2024,44601000.0,1660000.0,753000.0,47014000.0,4073200.0,9706600.0,60793800.0,Presentada,2024-04-13
IMP-2026-00007,IM-482554,Persona natural,Valle del Cauca,Buenaventura,,Vehículos automóviles con motor de émbolo,Corea del Sur,2025,172455000.0,5515000.0,2193000.0,180163000.0,16009700.0,37272800.0,233445500.0,Con corrección,2025-11-27
IMP-2026-00429,IM-601476,Persona jurídica,Cundinamarca,Chía,8703.23.00,Vehículos automóviles con motor de émbolo,México,2025,9609000.0,311000.0,66000.0,9986000.0,921200.0,2072400.0,12979600.0,Presentada,2025-12-28
IMP-2026-00012,IM-149405,Persona natural,Antioquia,,6109.10.00,Camisetas de punto de algodón,México,2025,11748000.0,365000.0,230000.0,12343000.0,1435100.0,2617800.0,16395900.0,En revisión,2025-02-25
IMP-2026-00415,IM-963862,Persona natural,Bogotá D.C.,Bogotá,3004.90.00,Medicamentos para uso humano,Alemania,2025,39220000.0,1043000.0,518000.0,40781000.0,2779500.0,8276500.0,51837000.0,Con corrección,2025-03-03
IMP-2026-00093,IM-576919,Persona natural,Santander,Floridablanca,8703.23.00,Vehículos automóviles con motor de émbolo,Corea del Sur,2025,84081000.0,6679000.0,941000.0,91701000.0,5117200.0,18395500.0,115213700.0,Con corrección,2025-09-02
IMP-2026-00225,IM-265613,Persona jurídica,Santander,,8471.30.00,Máquinas automáticas para procesamiento de datos,España,2024,21321000.0,639000.0,343000.0,22303000.0,277000.0,4290200.0,26870200.0,Extemporánea,2024-01-18
IMP-2026-00111,IM-462351,Persona jurídica,Antioquia,Itagüí,8517.12.00,Teléfonos móviles,Japón,2024,35721000.0,1327000.0,644000.0,37692000.0,1264200.0,7401700.0,46357900.0,Con corrección,2024-02-15
IMP-2026-00428,IM-459370,Persona natural,Cundinamarca,Mosquera,8703.23.00,Vehículos automóviles con motor de émbolo,Estados Unidos,2024,81732000.0,6381000.0,771000.0,88884000.0,10255700.0,18836500.0,117976200.0,Extemporánea,2024-06-27
IMP-2026-00445,IM-539001,Persona natural,Valle del Cauca,,9403.60.00,Muebles de madera,Alemania,2025,32313000.0,2197000.0,,34770000.0,2895000.0,7156400.0,44821400.0,Extemporánea,2025-09-13
IMP-2026-00043,IM-373903,Persona natural,Santander,Floridablanca,9403.60.00,Muebles de madera,Alemania,2025,13766000.0,846000.0,149000.0,14761000.0,2074100.0,3198700.0,20033800.0,Presentada,2025-01-04
IMP-2026-00059,IM-870319,Persona natural,Antioquia,Envigado,3004.90.00,Medicamentos para uso humano,España,2025,31850000.0,667000.0,603000.0,33120000.0,2127200.0,6697000.0,41944200.0,En revisión,2025-09-24
IMP-2026-00387,IM-917411,Persona natural,Cundinamarca,Soacha,6109.10.00,Camisetas de punto de algodón,Alemania,2024,13359000.0,1063000.0,253000.0,14675000.0,1188600.0,3014100.0,18877700.0,Con corrección,2024-02-19
IMP-2026-00079,IM-157174,Persona jurídica,Bogotá D.C.,Bogotá,8471.30.00,Máquinas automáticas para procesamiento de datos,México,2024,332502000.0,15021000.0,2898000.0,350421000.0,18711000.0,70135100.0,439267100.0,Extemporánea,2024-05-02
IMP-2026-00426,IM-404681,Persona jurídica,Cundinamarca,Soacha,8471.30.00,Máquinas automáticas para procesamiento de datos,Corea del Sur,2024,15073000.0,469000.0,115000.0,15657000.0,231100.0,3018700.0,18906800.0,Extemporánea,2024-01-28
IMP-2026-00161,IM-836971,Persona natural,Antioquia,Itagüí,3004.90.00,Medicamentos para uso humano,Japón,2025,18564000.0,937000.0,160000.0,19661000.0,338700.0,3799900.0,23799600.0,Con corrección,2025-03-22
IMP-2026-00186,IM-989894,Persona jurídica,Antioquia, itagüí ,9403.60.00,Muebles de madera,China,2024,37672000.0,2136000.0,199000.0,40007000.0,5233700.0,8595700.0,53836400.0,En revisión,2024-01-05
IMP-2026-00102,IM-913217,Persona jurídica,Bogotá D.C.,Bogotá,8517.12.00,Teléfonos móviles,China,2025,74652000.0,3954000.0,868000.0,79474000.0,10582400.0,17110700.0,107167100.0,Con corrección,2025-04-28
IMP-2026-00269,IM-352153,Persona jurídica,Santander, floridablanca ,8471.30.00,Máquinas automáticas para procesamiento de datos,Corea del Sur,2025,498409000.0,34630000.0,5092000.0,538131000.0,54729200.0,112643400.0,705503600.0,Extemporánea,2025-03-19
IMP-2026-00174,IM-702980,Persona natural,Valle del Cauca,Buenaventura,8517.12.00,Teléfonos móviles,México,2024,14533000.0,729000.0,123000.0,15385000.0,2076000.0,3317600.0,20778600.0,Con corrección,2024-11-17
IMP-2026-00430,IM-606121,Persona jurídica,BOGOTÁ D.C.,Bogotá,6109.10.00,Camisetas de punto de algodón,México,2024,178720000.0,11881000.0,2620000.0,193221000.0,15369800.0,39632300.0,248223100.0,Extemporánea,2024-07-19
IMP-2026-00313,IM-968581,Persona jurídica,Bogotá D.C.,Bogotá,6109.10.00,Camisetas de punto de algodón,Corea del Sur,2025,28909000.0,2271000.0,291000.0,31471000.0,859700.0,6142800.0,38473500.0,En revisión,2025-05-11
IMP-2026-00259,IM-612036,Persona natural,Bogotá D.C.,Bogotá,6109.10.00,Camisetas de punto de algodón,China,2024,21054000.0,494000.0,411000.0,21959000.0,2911100.0,4725300.0,29595400.0,Presentada,2024-12-18
IMP-2026-00193,IM-478427,Persona jurídica,Valle del Cauca,,6109.10.00,Camisetas de punto de algodón,España,2024,14474000.0,756000.0,272000.0,15502000.0,805400.0,3098400.0,19405800.0,En revisión,2024-08-01
IMP-2026-00341,IM-827146,Persona natural,Cundinamarca,Soacha,6109.10.00,Camisetas de punto de algodón,Corea del Sur,2025,32911000.0,2026000.0,,35515000.0,5032200.0,7704000.0,48251200.0,Presentada,2025-11-27
